Player name,Minutes,Points,Blocks,Steals,Rebounds,Assists,Turnovers,ftp,fgp,tpp
LeBron James,36,24,1,3,6,8,3,0,45.8,18.2
Giannis Antetokounmpo,26,30,1,3,12,6,1,0,71.4,0
Nikola Jokic,21,10,0,1,9,8,1,0,80,66.7
DeMar DeRozan,26,10,0,0,4,5,1,100,50,0
Stephen Curry,36,50,2,1,5,2,5,0,56.7,59.3
Chris Paul,2,0,0,0,0,0,0,0,0,0
Darius Garland,23,13,0,2,1,3,1,0,41.7,42.9
Jimmy Butler,9,2,0,2,0,1,0,0,50,0
Fred VanVleet,9,6,0,0,2,3,1,0,50,50
Jarrett Allen,23,10,2,1,9,1,2,0,83.3,0
Luka Doncic,24,8,0,0,0,3,1,0,50,50
Jayson Tatum,20,8,0,1,4,5,0,0,40,0
Andrew Wiggins,15,10,0,0,0,1,1,0,57.1,50
Joel Embiid,30,36,0,0,10,4,0,100,70,62.5
Ja Morant,17,6,0,0,1,3,0,0,50,0
Trae Young,19,13,0,2,2,10,3,0,38.5,33.3
Devin Booker,29,20,0,4,5,2,5,0,50,22.2
Zach LaVine,10,12,0,0,3,3,1,0,71.4,50
Karl Anthony Towns,14,9,0,0,6,3,1,0,50,25
Khris Middleton,20,5,0,0,5,2,2,100,12.5,20
Rudy Gobert,12,6,0,1,6,0,0,0,100,0
LaMelo Ball,22,18,0,3,3,3,0,0,63.6,50
Dejounte Murray,26,17,1,0,5,5,1,100,63.6,33.3
